"","year","state","count","straight_percentage","population","percent_pop","weight_percent","per_capita","per_million"
"1",2015,"AK",4,0.0041,733391,0.0022,0.0041,5.45411656265212e-06,5.45411656265212
"2",2015,"AL",17,0.0172,5024279,0.0152,0.0172,3.38357006050022e-06,3.38357006050022
"3",2015,"AR",5,0.0051,3011524,0.0091,0.0051,1.6602889434054e-06,1.6602889434054
"4",2015,"AZ",42,0.0426,7151502,0.0216,0.0426,5.87289215608134e-06,5.87289215608134
"5",2015,"CA",188,0.1907,39538223,0.1193,0.1907,4.75489249984755e-06,4.75489249984755
"6",2015,"CO",28,0.0284,5773714,0.0174,0.0284,4.84956476888187e-06,4.84956476888187
"7",2015,"CT",2,0.002,3605944,0.0109,0.002,5.54639783646113e-07,0.554639783646113
"8",2015,"DC",4,0.0041,689545,0.0021,0.0041,5.80092669804001e-06,5.80092669804001
"9",2015,"DE",3,0.003,989948,0.003,0.003,3.03046220609567e-06,3.03046220609567
"10",2015,"FL",61,0.0619,21538187,0.065,0.0619,2.83217895730964e-06,2.83217895730964
"11",2015,"GA",29,0.0294,10711908,0.0323,0.0294,2.70726746346216e-06,2.70726746346216
"12",2015,"HI",2,0.002,1455271,0.0044,0.002,1.37431447476106e-06,1.37431447476106
"13",2015,"IA",5,0.0051,3190369,0.0096,0.0051,1.5672168329118e-06,1.5672168329118
"14",2015,"ID",7,0.0071,1839106,0.0055,0.0071,3.8061971414372e-06,3.8061971414372
"15",2015,"IL",21,0.0213,12812508,0.0387,0.0213,1.6390233668537e-06,1.6390233668537
"16",2015,"IN",19,0.0193,6785528,0.0205,0.0193,2.80007686947869e-06,2.80007686947869
"17",2015,"KS",9,0.0091,2937880,0.0089,0.0091,3.06343349626261e-06,3.06343349626261
"18",2015,"KY",16,0.0162,4505836,0.0136,0.0162,3.55095036747898e-06,3.55095036747898
"19",2015,"LA",26,0.0264,4657757,0.0141,0.0264,5.58208596970602e-06,5.58208596970602
"20",2015,"MA",9,0.0091,7029917,0.0212,0.0091,1.28024271125818e-06,1.28024271125818
"21",2015,"MD",15,0.0152,6177224,0.0186,0.0152,2.42827522524681e-06,2.42827522524681
"22",2015,"ME",2,0.002,1362359,0.0041,0.002,1.46804183038392e-06,1.46804183038392
"23",2015,"MI",16,0.0162,10077331,0.0304,0.0162,1.58772198710154e-06,1.58772198710154
"24",2015,"MN",12,0.0122,5706494,0.0172,0.0122,2.10286736479527e-06,2.10286736479527
"25",2015,"MO",21,0.0213,6154913,0.0186,0.0213,3.41190850301215e-06,3.41190850301215
"26",2015,"MS",8,0.0081,2961279,0.0089,0.0081,2.70153538386623e-06,2.70153538386623
"27",2015,"MT",4,0.0041,1084225,0.0033,0.0041,3.68927113837073e-06,3.68927113837073
"28",2015,"NC",23,0.0233,10439388,0.0315,0.0233,2.20319428686816e-06,2.20319428686816
"29",2015,"ND",1,0.001,779094,0.0024,0.001,1.28354216564368e-06,1.28354216564368
"30",2015,"NE",8,0.0081,1961504,0.0059,0.0081,4.07850302624925e-06,4.07850302624924
"31",2015,"NH",3,0.003,1377529,0.0042,0.003,2.17781259051534e-06,2.17781259051534
"32",2015,"NJ",15,0.0152,9288994,0.028,0.0152,1.61481426298693e-06,1.61481426298693
"33",2015,"NM",20,0.0203,2117522,0.0064,0.0203,9.44500222429802e-06,9.44500222429802
"34",2015,"NV",19,0.0193,3104614,0.0094,0.0193,6.11992344297874e-06,6.11992344297874
"35",2015,"NY",18,0.0183,20201249,0.0609,0.0183,8.91034014777997e-07,0.891034014777997
"36",2015,"OH",28,0.0284,11799448,0.0356,0.0284,2.37299236371057e-06,2.37299236371057
"37",2015,"OK",31,0.0314,3959353,0.0119,0.0314,7.82956205218378e-06,7.82956205218378
"38",2015,"OR",15,0.0152,4237256,0.0128,0.0152,3.54002684756361e-06,3.54002684756361
"39",2015,"PA",18,0.0183,13002700,0.0392,0.0183,1.38432787036539e-06,1.38432787036539
"40",2015,"SC",19,0.0193,5118425,0.0154,0.0193,3.71207939942463e-06,3.71207939942463
"41",2015,"SD",3,0.003,886667,0.0027,0.003,3.38345737464008e-06,3.38345737464008
"42",2015,"TN",20,0.0203,6910840,0.0209,0.0203,2.8940042020941e-06,2.8940042020941
"43",2015,"TX",99,0.1004,29145505,0.0879,0.1004,3.39675020213237e-06,3.39675020213237
"44",2015,"UT",10,0.0101,3271616,0.0099,0.0101,3.05659343883879e-06,3.05659343883879
"45",2015,"VA",17,0.0172,8631393,0.026,0.0172,1.96955462461274e-06,1.96955462461274
"46",2015,"VT",1,0.001,643077,0.0019,0.001,1.55502373743735e-06,1.55502373743735
"47",2015,"WA",16,0.0162,7705281,0.0232,0.0162,2.07649792395631e-06,2.07649792395631
"48",2015,"WI",11,0.0112,5893718,0.0178,0.0112,1.8663940147798e-06,1.8663940147798
"49",2015,"WV",10,0.0101,1793716,0.0054,0.0101,5.57501856481182e-06,5.57501856481182
"50",2015,"WY",6,0.0061,576851,0.0017,0.0061,1.04012994690137e-05,10.4012994690137
"51",2016,"AK",7,0.0075,733391,0.0022,0.0075,9.54470398464121e-06,9.54470398464121
"52",2016,"AL",23,0.0246,5024279,0.0152,0.0246,4.57777125832383e-06,4.57777125832383
"53",2016,"AR",15,0.016,3011524,0.0091,0.016,4.9808668302162e-06,4.9808668302162
"54",2016,"AZ",46,0.0491,7151502,0.0216,0.0491,6.43221521856528e-06,6.43221521856528
"55",2016,"CA",134,0.1432,39538223,0.1193,0.1432,3.38912550521049e-06,3.38912550521049
"56",2016,"CO",31,0.0331,5773714,0.0174,0.0331,5.36916099411921e-06,5.36916099411921
"57",2016,"CT",3,0.0032,3605944,0.0109,0.0032,8.3195967546917e-07,0.83195967546917
"58",2016,"DC",5,0.0053,689545,0.0021,0.0053,7.25115837255002e-06,7.25115837255002
"59",2016,"DE",1,0.0011,989948,0.003,0.0011,1.01015406869856e-06,1.01015406869856
"60",2016,"FL",59,0.063,21538187,0.065,0.063,2.73932063084047e-06,2.73932063084047
"61",2016,"GA",26,0.0278,10711908,0.0323,0.0278,2.42720531206952e-06,2.42720531206952
"62",2016,"HI",6,0.0064,1455271,0.0044,0.0064,4.12294342428317e-06,4.12294342428318
"63",2016,"IA",5,0.0053,3190369,0.0096,0.0053,1.5672168329118e-06,1.5672168329118
"64",2016,"ID",5,0.0053,1839106,0.0055,0.0053,2.71871224388371e-06,2.71871224388371
"65",2016,"IL",25,0.0267,12812508,0.0387,0.0267,1.95121829387346e-06,1.95121829387346
"66",2016,"IN",14,0.015,6785528,0.0205,0.015,2.06321453540535e-06,2.06321453540535
"67",2016,"KS",10,0.0107,2937880,0.0089,0.0107,3.40381499584735e-06,3.40381499584735
"68",2016,"KY",18,0.0192,4505836,0.0136,0.0192,3.99481916341385e-06,3.99481916341385
"69",2016,"LA",17,0.0182,4657757,0.0141,0.0182,3.64982544173086e-06,3.64982544173086
"70",2016,"MA",12,0.0128,7029917,0.0212,0.0128,1.70699028167758e-06,1.70699028167758
"71",2016,"MD",15,0.016,6177224,0.0186,0.016,2.42827522524681e-06,2.42827522524681
"72",2016,"ME",2,0.0021,1362359,0.0041,0.0021,1.46804183038392e-06,1.46804183038392
"73",2016,"MI",12,0.0128,10077331,0.0304,0.0128,1.19079149032616e-06,1.19079149032616
"74",2016,"MN",14,0.015,5706494,0.0172,0.015,2.45334525892781e-06,2.45334525892781
"75",2016,"MO",21,0.0224,6154913,0.0186,0.0224,3.41190850301215e-06,3.41190850301215
"76",2016,"MS",8,0.0085,2961279,0.0089,0.0085,2.70153538386623e-06,2.70153538386623
"77",2016,"MT",5,0.0053,1084225,0.0033,0.0053,4.61158892296341e-06,4.61158892296341
"78",2016,"NC",31,0.0331,10439388,0.0315,0.0331,2.96952273447447e-06,2.96952273447447
"79",2016,"ND",1,0.0011,779094,0.0024,0.0011,1.28354216564368e-06,1.28354216564368
"80",2016,"NE",7,0.0075,1961504,0.0059,0.0075,3.56869014796809e-06,3.56869014796809
"81",2016,"NH",2,0.0021,1377529,0.0042,0.0021,1.45187506034356e-06,1.45187506034356
"82",2016,"NJ",12,0.0128,9288994,0.028,0.0128,1.29185141038954e-06,1.29185141038954
"83",2016,"NM",21,0.0224,2117522,0.0064,0.0224,9.91725233551292e-06,9.91725233551292
"84",2016,"NV",13,0.0139,3104614,0.0094,0.0139,4.18731603993282e-06,4.18731603993282
"85",2016,"NY",17,0.0182,20201249,0.0609,0.0182,8.41532125068108e-07,0.841532125068108
"86",2016,"OH",26,0.0278,11799448,0.0356,0.0278,2.20349290915982e-06,2.20349290915982
"87",2016,"OK",25,0.0267,3959353,0.0119,0.0267,6.3141629453095e-06,6.3141629453095
"88",2016,"OR",15,0.016,4237256,0.0128,0.016,3.54002684756361e-06,3.54002684756361
"89",2016,"PA",22,0.0235,13002700,0.0392,0.0235,1.69195628600214e-06,1.69195628600214
"90",2016,"RI",2,0.0021,1097379,0.0033,0.0021,1.82252439676721e-06,1.82252439676721
"91",2016,"SC",17,0.0182,5118425,0.0154,0.0182,3.32133419948519e-06,3.32133419948519
"92",2016,"SD",4,0.0043,886667,0.0027,0.0043,4.51127649952011e-06,4.51127649952011
"93",2016,"TN",22,0.0235,6910840,0.0209,0.0235,3.18340462230351e-06,3.18340462230351
"94",2016,"TX",77,0.0823,29145505,0.0879,0.0823,2.64191682388073e-06,2.64191682388073
"95",2016,"UT",8,0.0085,3271616,0.0099,0.0085,2.44527475107103e-06,2.44527475107103
"96",2016,"VA",17,0.0182,8631393,0.026,0.0182,1.96955462461274e-06,1.96955462461274
"97",2016,"VT",2,0.0021,643077,0.0019,0.0021,3.1100474748747e-06,3.1100474748747
"98",2016,"WA",26,0.0278,7705281,0.0232,0.0278,3.374309126429e-06,3.374309126429
"99",2016,"WI",17,0.0182,5893718,0.0178,0.0182,2.88442711375061e-06,2.88442711375061
"100",2016,"WV",11,0.0118,1793716,0.0054,0.0118,6.132520421293e-06,6.132520421293
"101",2016,"WY",2,0.0021,576851,0.0017,0.0021,3.46709982300455e-06,3.46709982300455
"102",2017,"AK",8,0.0084,733391,0.0022,0.0084,1.09082331253042e-05,10.9082331253042
"103",2017,"AL",24,0.0253,5024279,0.0152,0.0253,4.77680479129443e-06,4.77680479129443
"104",2017,"AR",12,0.0126,3011524,0.0091,0.0126,3.98469346417296e-06,3.98469346417296
"105",2017,"AZ",43,0.0453,7151502,0.0216,0.0453,6.01272292170232e-06,6.01272292170232
"106",2017,"CA",150,0.1581,39538223,0.1193,0.1581,3.79379720732517e-06,3.79379720732517
"107",2017,"CO",28,0.0295,5773714,0.0174,0.0295,4.84956476888187e-06,4.84956476888187
