"","date","count","death_03da","death_05da","death_07da","death_10da","death_15da","death_21da","year(date)","cmsum","month"
"1",2015-01-02,2,NA,NA,NA,NA,NA,NA,2015,2,"January"
"2",2015-01-03,1,2,NA,NA,NA,NA,NA,2015,3,"January"
"3",2015-01-04,3,1.66666666666667,2.2,NA,NA,NA,NA,2015,6,"January"
"4",2015-01-05,1,2.66666666666667,2.6,2.71428571428571,NA,NA,NA,2015,7,"January"
"5",2015-01-06,4,3,3.2,2.71428571428571,2.6,NA,NA,2015,11,"January"
"6",2015-01-07,4,4,3,3,3,NA,NA,2015,15,"January"
"7",2015-01-08,4,3.33333333333333,3.4,2.85714285714286,3.4,NA,NA,2015,19,"January"
"8",2015-01-09,2,3,3,3.57142857142857,3.3,2.93333333333333,NA,2015,21,"January"
"9",2015-01-11,3,2.33333333333333,3.4,3.71428571428571,3.5,2.86666666666667,NA,2015,24,"January"
"10",2015-01-13,2,3.66666666666667,3.6,3.42857142857143,3.3,2.86666666666667,NA,2015,26,"January"
"11",2015-01-14,6,4.33333333333333,3.6,3.28571428571429,3,2.93333333333333,2.76190476190476,2015,32,"January"
"12",2015-01-15,5,4.33333333333333,3.6,3.28571428571429,2.7,3,2.76190476190476,2015,37,"January"
"13",2015-01-16,2,3.33333333333333,3.6,3,2.9,2.93333333333333,2.9047619047619,2015,39,"January"
"14",2015-01-17,3,2.33333333333333,2.6,2.85714285714286,2.8,2.86666666666667,2.95238095238095,2015,42,"January"
"15",2015-01-18,2,2,1.8,2.57142857142857,2.9,2.73333333333333,3.04761904761905,2015,44,"January"
"16",2015-01-19,1,1.33333333333333,2.2,2.14285714285714,2.6,2.86666666666667,2.95238095238095,2015,45,"January"
"17",2015-01-20,1,2,2,2.28571428571429,2.3,2.93333333333333,2.80952380952381,2015,46,"January"
"18",2015-01-21,4,2.33333333333333,2.2,2.28571428571429,2.5,3,2.71428571428571,2015,50,"January"
"19",2015-01-22,2,3,2.6,2.28571428571429,2.6,2.73333333333333,2.76190476190476,2015,52,"January"
"20",2015-01-23,3,2.66666666666667,2.8,2.71428571428571,2.7,2.46666666666667,2.80952380952381,2015,55,"January"
"21",2015-01-24,3,2.66666666666667,2.8,3.14285714285714,2.8,2.46666666666667,3,2015,58,"January"
"22",2015-01-25,2,3,3.2,3,2.8,2.46666666666667,2.76190476190476,2015,60,"January"
"23",2015-01-26,4,3.33333333333333,3.2,3,2.6,2.6,2.57142857142857,2015,64,"January"
"24",2015-01-27,4,3.66666666666667,3,2.71428571428571,2.7,2.93333333333333,2.57142857142857,2015,68,"January"
"25",2015-01-28,3,3,2.8,2.57142857142857,2.8,2.93333333333333,2.66666666666667,2015,71,"January"
"26",2015-01-29,2,2,2.4,2.71428571428571,3.1,2.73333333333333,2.66666666666667,2015,73,"January"
"27",2015-01-30,1,1.66666666666667,2.2,2.71428571428571,3,2.73333333333333,2.76190476190476,2015,74,"January"
"28",2015-01-31,2,2,2.4,3,2.7,2.86666666666667,2.80952380952381,2015,76,"January"
"29",2015-02-02,3,3,3.2,2.71428571428571,2.5,2.8,2.85714285714286,2015,79,"February"
"30",2015-02-03,4,4.33333333333333,3.2,2.57142857142857,2.7,2.86666666666667,2.85714285714286,2015,83,"February"
"31",2015-02-04,6,3.66666666666667,3,2.71428571428571,2.7,2.73333333333333,2.85714285714286,2015,89,"February"
"32",2015-02-05,1,2.66666666666667,2.8,3.14285714285714,2.9,2.8,2.85714285714286,2015,90,"February"
"33",2015-02-06,1,1.33333333333333,3,3,2.9,2.73333333333333,3,2015,91,"February"
"34",2015-02-07,2,2.66666666666667,2.2,2.85714285714286,3.1,2.8,2.85714285714286,2015,93,"February"
"35",2015-02-08,5,3,2.6,2.28571428571429,2.9,2.93333333333333,2.80952380952381,2015,98,"February"
"36",2015-02-09,2,3.33333333333333,2.8,2.85714285714286,2.6,3.13333333333333,2.76190476190476,2015,100,"February"
"37",2015-02-10,3,2.33333333333333,3.4,3,2.8,3,2.71428571428571,2015,103,"February"
